Location,Rating,Review
Oasis Mall Salalah,Neutral,Ambience ok but screen is very small
Oasis Mall Salalah,Positive,Thanks.. Suresh👍
Oasis Mall Salalah,Positive,خدمه ممتازه
Oman Avenues Mall,Negative,"We made two transactions for tickets booking. I haven't gotten any tickets, yet the ticket cost has been taken out of my account. I received a failed transaction email from Cinepolis, but my bank account was charged for the amount and I have yet to get a refund.
I phoned customer service, but they didn't answer. Extremely unprofessional conduct.
really poor management.
I will never suggest Cinepolis to my friends or relatives.
This lack of professionalism cannot be tolerated."
Oman Avenues Mall,Negative,"4D was shit, huge delay in the effects !!! Everyone should got a refund !"
Oman Avenues Mall,Negative,At the end of the movie the sound died
Oman Avenues Mall,Positive,"Good,sound is comparatively less.."
Oman Avenues Mall,Positive,روعة
Oman Avenues Mall,Negative,"Unfortunately, this was a disappointing experience. The venue was quite warm and not well-prepared in terms of comfort. The air conditioning was very poor, and the area where we were seated was extremely hot  to the point that our clothes became damp. The “Deluxe” seats were far from comfortable . we truly struggled to enjoy the movie. I had booked 9 tickets with high expectations, but sadly, I left feeling regretful. This was my first and likely my last visit to this branch."
Oman Avenues Mall,Negative,"The worst movie experience ever, first the movie audio is very low, second worst customer service making a big deal out bringing a bottle of water in the movie, thried,  the chair is not comfortable at all. Fourth, the food is expensive. I don’t recommend ."
Oman Avenues Mall,Positive,"Ample amount of screens. Comfortable seating. Some screen seating arrangements need to improve, but could be compromised."
Oman Avenues Mall,Negative,"They show too much attitude in letting in even a water bottle for a baby girl.

The staff act as if they are doing a favour."
Oasis Mall Salalah,Positive,"Nice place, neat and clean friendly staff, good pictures and enjoying a lot"
Oasis Mall Salalah,Positive,"A best place to enjoy your favorite movies!
Seats are comfortable,food is great,neat washrooms and friendly staff.
The best cinema in Salalah!"
Oasis Mall Salalah,Positive,Tamil movie awesome. Good people kind
Oasis Mall Salalah,Positive,Nice place clean. Gud staff
Oasis Mall Salalah,Positive,i engoyed good served
Oasis Mall Salalah,Positive,Great service. Enjoyed the movie
Oasis Mall Salalah,Positive,Staff is very friendly and accommodating.
Oasis Mall Salalah,Positive,"Excellent customer service,  explains all offers.

All the best ."
Oasis Mall Salalah,Positive,هل سوف يعاد بث فلم كونان 27 مرة اخرى بعد شهر 6؟ اتمنى الاجابة بسرعة
Oasis Mall Salalah,Positive,"الله يعطيهم العافيه الشباب ماقصروا
حجزت فلم وللامانه الغلط مني عندي اطفال تحت 15 سنه والفلم يسمح للي أعمارهم فوق ال15 والشباب الي يجزيهم خير كانوا جدا متساعدين وعطوني اكثر من خيار وبنفس الوقت عطوني تذكرتين ب المجان الله يجزيهم خير"
Oasis Mall Salalah,Positive,Fantastic support from the staff... Great experience.. 👍 👌
Oasis Mall Salalah,Positive,It's a wonderful experience always to be at Cinepolis. The staff is excellent especially quick to attend the customers..I give 5 star for their kind gesture.
Oasis Mall Salalah,Positive,خدمة ممتازه تعامل طيب
Oman Avenues Mall,Positive,"Nice place to catch movies. But always book your tickets online and visit, that costs u less with all coupons."
Oman Avenues Mall,Positive,"Awesome theaters, clean, good quality audio, very good customer service."
Oman Avenues Mall,Positive,Super
Oman Avenues Mall,Positive,One of the best multiplex in Oman
Oman Avenues Mall,Neutral,"We’ve been to Al Cinepolis at Oasis Mall more than four times this year—and it’s always been a nice experience. The place has plenty of screens, so you’ve got a lot of choices when it comes to show timings and movies.

What I really appreciate is how neat and clean everything is—from the lobby to the washrooms and especially the comfortable seating in the theaters. You can actually relax and enjoy the movie without distractions.

Another bonus? They often have good offers when you pay with select bank cards, which makes it even more worth it.

Overall, it’s become my preferred place to catch a movie in Muscat. Highly recommended for regular moviegoers looking for comfort and value!"
Oman Avenues Mall,Negative,The customer service is appalling. The staff there will not attend keep you waiting for like 10 mins standing and doing nothing. They asked me what I want I said popcorn and straight way billed and pointed to the card machine. I wanted to order more when asked for fries they said it will take a lot of time. May be 15 mins. It’s like they did not want me to order. I asked which screen they just said go in you will find it.
Oman Avenues Mall,Negative,"I’m writing this out of my frustration after facing the same issue during my last four visits to your theater – including the movie  I  watched yesterday(Good Bad Ugly).
The air conditioning inside the screen was completely off . Despite informing your staff multiple times and being told it would be addressed, nothing was done. I filed two complaints yesterday alone, yet there was no follow-up and no resolution. Everyone in the screen was clearly uncomfortable and suffocating, and it seems your team either doesn’t care or is completely unbothered by customer experience.

This level of negligence is absolutely unacceptable. I expect basic amenities like AC when paying for a movie  – this is the basic request If this is the kind of experience you continue to offer, I see no reason to return or recommend your theater to anyone."
Oman Avenues Mall,Negative,Very very bad sound effects like television good bad ugly tamil movie screen no 5
Oman Avenues Mall,Negative,"The staff are very rude—they don’t allow us to bring our own water bottles, even though we have kids with us. Water is essential, and every other cinema allows it except Cinepolis.

Additionally, the theater’s quality and seats are much worse compared to other cinemas"
Oman Avenues Mall,Positive,"Multiple theater rooms with good service, excellent staff, and variety of foods."
Oman Avenues Mall,Neutral,"⭐⭐⭐☆☆ (3/5)

Cinépolis at Oman Avenues Mall offers a decent movie experience, but there are areas that need improvement. Parking on the rooftop is the best option since it provides direct access to the cinema, which is quite convenient.

However, I found the display quality disappointing—it leans towards the darker side, making it difficult to fully enjoy the visual effects. The sound system is average and doesn’t provide the immersive experience expected from a premium theater.

I watched Empuraan (Malayalam movie) on Screen 6, and the experience was just okay. Food items and bags are not allowed inside, which can be inconvenient.

The deluxe seating is quite hard, lacking proper cushioning, making it uncomfortable for longer movies. The temperature is set to a normal level, which might be a plus for some, but I personally expected a more chilled environment.

The food section has multiple counters, but during the interval, long queues form, and staff seem insufficient to handle the rush. That said, the staff is very attentive and professional, ensuring smooth service despite the crowd.

Overall, Cinépolis Oman Avenues Mall is average—convenient parking and good staff, but the display, sound quality, and seating comfort could be significantly improved. Would consider visiting again if these issues are addressed."
Oman Avenues Mall,Positive,Great
Oman Avenues Mall,Neutral,"Cinepolis Oman has a great Macro XE screen, which offers an excellent viewing experience. However, the other screens are below average, with poor color calibration, a dull and dark tone, and a lack of vibrancy in the visuals."
Oman Avenues Mall,Positive,Their 4d screen cinema is more of a motion ride than 4d screen. Picture quality is average.
Oman Avenues Mall,Positive,Saud Al Marhoobi was very kind such a great customer service. All the best
Oasis Mall Salalah,Positive,Good gob
Oasis Mall Salalah,Positive,Cinépolis cinema my favourite place to watch recent movies the vibe and staffs very kind and helpful thanks Mr. JAYANT help us today keep it up 👏
Oasis Mall Salalah,Neutral,"Not many people can watch movies in Salalah. Because we are all employees and we have different types of shift times. As many people like me do night shifts, we cannot watch movies in the evening. So if you schedule a morning show, it might be helpful for many people"
Oasis Mall Salalah,Positive,"It was a great experience.
All the top brands are available here."
Oasis Mall Salalah,Negative,if i could rate it less than one star i would
Oasis Mall Salalah,Negative,"very poor customer service, poor app& website, no movie versatility"
Oasis Mall Salalah,Positive,جيد للتسوق والترفيه
Oasis Mall Salalah,Negative,غير مهتم في التجربه
Oasis Mall Salalah,Positive,ممتاز ممتاز
Oasis Mall Salalah,Negative,I'm really disappointed of replacing the cheese flavored from liquid to powder. Where the taste are totally different and because of that I have totally shifted my interest to competitor of because of the this reason. I hope you your revised your decision because your customer deserve better experience. Please engage for more better customer satisfaction.
Oasis Mall Salalah,Positive,Good for entertainment and very near to the town
Oasis Mall Salalah,Neutral,Its a good theater
Oasis Mall Salalah,Positive,Nice 🙂
Oasis Mall Salalah,Positive,Loved it
Oasis Mall Salalah,Negative,"Screen 2 Sound system was very poor. I went there for the movie Avesham , i feel like im watching the movie on my phone ,such a poor and bass less sound."
Oasis Mall Salalah,Negative,"Awful experience, I was going to watch ""the first omen"" movie today, and 10 minutes before the movie starts we purchased the tickets and food, and later they told us the movie got delayed for 10-15 minutes because of some technical issues, and then we've waited for a whole hour and we got no apologies from the manger for what happened, and after the movie starts there was an issue with the subtitles during the movie, so we got out the movie and issued a refund, they agreed to refund the tickets but not the food, and after arguing for 10 minutes the refunded the whole thing, the staff were not great handling this situation."
Oasis Mall Salalah,Positive,One and only movie theater in Salalah...
Oasis Mall Salalah,Negative,Watched a late night movie. Asked to Have volume turned up. And when looking for staff for assistance no one was available. 🥺
Oasis Mall Salalah,Positive,اجواء جميله وهدوء تااام
Oasis Mall Salalah,Neutral,Very good service they have
Oasis Mall Salalah,Negative,ممتاز
Oasis Mall Salalah,Negative,Poor quality
Oman Avenues Mall,Positive,All is well
Oman Avenues Mall,Negative,"Theatres very nice, credit card offer not available all category"
Oman Avenues Mall,Negative,"It is one of the worst places to watch movies, horrible experience, and the staff is the worst of all"
Oman Avenues Mall,Negative,Staff is very rud and not good for a visitor
Oman Avenues Mall,Positive,"Excellent 👌🏿
Home of entertainment"
Oman Avenues Mall,Positive,അടിപൊളി 🔥🔥
Oman Avenues Mall,Negative,"We had a very experience there, I strongly don’t recommend it to anyone."
Oman Avenues Mall,Negative,Sound quality and picture quality not good
Oman Avenues Mall,Positive,"Screen 1's awesome for a movie, it's huge compared to the others!  I'd pick that one for the best experience.  The sound's great everywhere, though.  Everything about it is perfect."
Oman Avenues Mall,Positive,Wow..
Oman Avenues Mall,Positive,"Lot of Screens, Spacious, Managed well, Neat and Clean, good seats, recliner is the best, Good offers with Bank Cards…"
Oman Avenues Mall,Negative,No sound quality 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️
Oman Avenues Mall,Negative,Very bad experience..sound quality and screen quality is very bad..don’t waste your money.
Oasis Mall Salalah,Positive,It's a very good place for movie goers. They are the best as of now in Salalah. They do give 50% off on bank muscat and other credit cards. Use them if you can. I watched more than 25 movies here but never had any issues. Ample parking space is available and the ambience is good.
Oasis Mall Salalah,Positive,Very Good experience.
Oasis Mall Salalah,Positive,Good
Oasis Mall Salalah,Positive,ممتاز
Oasis Mall Salalah,Negative,More than 60% or 70% are indian  movies and the rest for Arabic or Holywood movies as if we are in India. No varieties except for indian nationals. In muscat you can find more varieties.   Very poor management
Oasis Mall Salalah,Positive,جيدة
Oasis Mall Salalah,Positive,"جميل جدا ورائع والخدمة ممتازة
ولكن لا يوجد افلام كثيره متوفرة"
Oasis Mall Salalah,Positive,Office
Oasis Mall Salalah,Positive,"Good but not like inox, imax"
Oasis Mall Salalah,Positive,"Recliner seat was so comfortable, cozzy, relaxing"
Oasis Mall Salalah,Positive,Good theater experience and. Well arranged seeting 🥰
Oasis Mall Salalah,Positive,كانت تجربة رائعه مشاهدة الفيلم مع العائلة والوجبات أسعارها معقوله
Oasis Mall Salalah,Positive,Good
